,Text,True,mask,0,1,2,3,4,5
20,i ever feel any kind of jealousy towards bethany is when her mother hugs her in the adoring all consuming motherly love kind of way,LABEL_2,-1,8.154204778065832e-08,8.154204778065832e-08,8.154204778065832e-08,8.154204778065832e-08,8.154204778065832e-08,8.154204778065832e-08
21,i ever feel any kind of jealousy towards bethany is when her mother hugs her in the adoring all consuming motherly love kind of way,LABEL_2,0,9.902085906787761e-08,9.902085906787761e-08,9.902085906787761e-08,9.902085906787761e-08,9.902085906787761e-08,9.902085906787761e-08
22,i feel fond of the ufc and the fans always debate over who is the better organization but as a fighter representing ufc i think ufc has the better fighters,LABEL_2,-1,1.4429537031901418e-07,1.4429537031901418e-07,1.4429537031901418e-07,1.4429537031901418e-07,1.4429537031901418e-07,1.4429537031901418e-07
23,i feel fond of the ufc and the fans always debate over who is the better organization but as a fighter representing ufc i think ufc has the better fighters,LABEL_2,0,1.7385416128945508e-07,1.7385416128945508e-07,1.7385416128945508e-07,1.7385416128945508e-07,1.7385416128945508e-07,1.7385416128945508e-07
24,i am no pro but being that i have beat and played through the game three times to be exact i feel i can tell you some things i liked and some things i did not,LABEL_2,-1,4.741821513221112e-08,4.741821513221112e-08,4.741821513221112e-08,4.741821513221112e-08,4.741821513221112e-08,4.741821513221112e-08
25,i am no pro but being that i have beat and played through the game three times to be exact i feel i can tell you some things i liked and some things i did not,LABEL_2,0,5.558252880177861e-08,5.558252880177861e-08,5.558252880177861e-08,5.558252880177861e-08,5.558252880177861e-08,5.558252880177861e-08
26,i bet there isn t a universe out there where a gibbs doesn t feel the need to slap a dinozzo he said and there was something kind of fond about the way he said it that made tony glow a bit inside,LABEL_2,-1,1.722122959790795e-07,1.722122959790795e-07,1.722122959790795e-07,1.722122959790795e-07,1.722122959790795e-07,1.722122959790795e-07
27,i bet there isn t a universe out there where a gibbs doesn t feel the need to slap a dinozzo he said and there was something kind of fond about the way he said it that made tony glow a bit inside,LABEL_2,0,1.300809771009881e-07,1.300809771009881e-07,1.300809771009881e-07,1.300809771009881e-07,1.300809771009881e-07,1.300809771009881e-07
28,i feel fond of my adopted home,LABEL_2,-1,1.3777810181636596e-07,1.3777810181636596e-07,1.3777810181636596e-07,1.3777810181636596e-07,1.3777810181636596e-07,1.3777810181636596e-07
29,i feel fond of my adopted home,LABEL_2,0,1.7745246339018195e-07,1.7745246339018195e-07,1.7745246339018195e-07,1.7745246339018195e-07,1.7745246339018195e-07,1.7745246339018195e-07
30,i havent told this new guy how i feel either because a hes planning to move away soon b if he liked me i think he probably would have asked me out by now because hes not the shy type c based on certain things hes told me theres someone else that hes thinking of right now,LABEL_2,-1,7.823685166385985e-08,7.823685166385985e-08,7.823685166385985e-08,7.823685166385985e-08,7.823685166385985e-08,7.823685166385985e-08
31,i havent told this new guy how i feel either because a hes planning to move away soon b if he liked me i think he probably would have asked me out by now because hes not the shy type c based on certain things hes told me theres someone else that hes thinking of right now,LABEL_2,0,7.414438130126655e-08,7.414438130126655e-08,7.414438130126655e-08,7.414438130126655e-08,7.414438130126655e-08,7.414438130126655e-08
32,i tip what the astronauts who are going to make the first years long trips to mars are going to feel my fond ambition to work an antarctic winter has been put into perspective too,LABEL_2,-1,1.4832636452410952e-07,1.4832636452410952e-07,1.4832636452410952e-07,1.4832636452410952e-07,1.4832636452410952e-07,1.4832636452410952e-07
33,i tip what the astronauts who are going to make the first years long trips to mars are going to feel my fond ambition to work an antarctic winter has been put into perspective too,LABEL_2,0,1.8532747958488471e-07,1.8532747958488471e-07,1.8532747958488471e-07,1.8532747958488471e-07,1.8532747958488471e-07,1.8532747958488471e-07
34,i could almost admit to feeling strangely fond of the man,LABEL_2,-1,6.451220713188377e-08,6.451220713188377e-08,6.451220713188377e-08,6.451220713188377e-08,6.451220713188377e-08,6.451220713188377e-08
35,i could almost admit to feeling strangely fond of the man,LABEL_2,0,7.017791148200558e-08,7.017791148200558e-08,7.017791148200558e-08,7.017791148200558e-08,7.017791148200558e-08,7.017791148200558e-08
36,i want to learn to be a better person theres got to be a reason that im feeling all this perhaps its my own doing but as my dad is fond of saying it matters little what happens what matters is how you deal with it and move forward,LABEL_2,-1,1.9812119944617734e-07,1.9812119944617734e-07,1.9812119944617734e-07,1.9812119944617734e-07,1.9812119944617734e-07,1.9812119944617734e-07
37,i want to learn to be a better person theres got to be a reason that im feeling all this perhaps its my own doing but as my dad is fond of saying it matters little what happens what matters is how you deal with it and move forward,LABEL_2,0,1.5138779474455077e-07,1.5138779474455077e-07,1.5138779474455077e-07,1.5138779474455077e-07,1.5138779474455077e-07,1.5138779474455077e-07
38,i bought an espresso machine which while not exactly life altering i at least bears a mention i feel as im rather fond of it,LABEL_2,-1,1.1288712187251804e-07,1.1288712187251804e-07,1.1288712187251804e-07,1.1288712187251804e-07,1.1288712187251804e-07,1.1288712187251804e-07
39,i bought an espresso machine which while not exactly life altering i at least bears a mention i feel as im rather fond of it,LABEL_2,0,1.0597709376725106e-07,1.0597709376725106e-07,1.0597709376725106e-07,1.0597709376725106e-07,1.0597709376725106e-07,1.0597709376725106e-07
40,i dont know how i should be feeling and such but it seems as though that suthin told me he liked me more than a friend but i cant do or say anything cause i am actually afraid that he might be joking and not serious about this whole matter,LABEL_2,-1,9.287134616897674e-08,9.287134616897674e-08,9.287134616897674e-08,9.287134616897674e-08,9.287134616897674e-08,9.287134616897674e-08
41,i dont know how i should be feeling and such but it seems as though that suthin told me he liked me more than a friend but i cant do or say anything cause i am actually afraid that he might be joking and not serious about this whole matter,LABEL_2,0,9.22259175695217e-08,9.22259175695217e-08,9.22259175695217e-08,9.22259175695217e-08,9.22259175695217e-08,9.22259175695217e-08
42,i always always always use my lip balm ill just pick up any that is closest to me normally its the nuxe balm and when i wake up on a morning i can actually still feel this beauty on my lips its lovely and smooth and best of all it looks matte so none of that sticky business going on,LABEL_2,-1,3.6369495859389644e-08,3.6369495859389644e-08,3.6369495859389644e-08,3.6369495859389644e-08,3.6369495859389644e-08,3.6369495859389644e-08
43,i always always always use my lip balm ill just pick up any that is closest to me normally its the nuxe balm and when i wake up on a morning i can actually still feel this beauty on my lips its lovely and smooth and best of all it looks matte so none of that sticky business going on,LABEL_2,0,3.0761775349219533e-08,3.0761775349219533e-08,3.0761775349219533e-08,3.0761775349219533e-08,3.0761775349219533e-08,3.0761775349219533e-08
44,i never thought i would feel so fond of a three day weekend,LABEL_2,-1,7.598190876478839e-08,7.598190876478839e-08,7.598190876478839e-08,7.598190876478839e-08,7.598190876478839e-08,7.598190876478839e-08
45,i never thought i would feel so fond of a three day weekend,LABEL_2,0,9.680272938794587e-08,9.680272938794587e-08,9.680272938794587e-08,9.680272938794587e-08,9.680272938794587e-08,9.680272938794587e-08
46,i feel and what i always knew that i liked boys from a very early age i was not made into this nor forced by anyone via homo paedophile circumstances,LABEL_2,-1,1.4099187239935418e-07,1.4099187239935418e-07,1.4099187239935418e-07,1.4099187239935418e-07,1.4099187239935418e-07,1.4099187239935418e-07
47,i feel and what i always knew that i liked boys from a very early age i was not made into this nor forced by anyone via homo paedophile circumstances,LABEL_2,0,2.0842122694375576e-07,2.0842122694375576e-07,2.0842122694375576e-07,2.0842122694375576e-07,2.0842122694375576e-07,2.0842122694375576e-07
48,i disliked sydney but i was feeling particularly less than fond of her at the moment,LABEL_2,-1,2.291400278409128e-07,2.291400278409128e-07,2.291400278409128e-07,2.291400278409128e-07,2.291400278409128e-07,2.291400278409128e-07
49,i disliked sydney but i was feeling particularly less than fond of her at the moment,LABEL_2,0,2.749250143097015e-07,2.749250143097015e-07,2.749250143097015e-07,2.749250143097015e-07,2.749250143097015e-07,2.749250143097015e-07
50,im actually feeling fond of the human race,LABEL_2,-1,1.4474163378963567e-07,1.4474163378963567e-07,1.4474163378963567e-07,1.4474163378963567e-07,1.4474163378963567e-07,1.4474163378963567e-07
51,im actually feeling fond of the human race,LABEL_2,0,1.655225787544623e-07,1.655225787544623e-07,1.655225787544623e-07,1.655225787544623e-07,1.655225787544623e-07,1.655225787544623e-07
52,i always felt more comfortable with friends coming over to our house honestly i still feel that way but teri liked to have sophie over at her house,LABEL_2,-1,3.526350056404226e-08,3.526350056404226e-08,3.526350056404226e-08,3.526350056404226e-08,3.526350056404226e-08,3.526350056404226e-08
53,i always felt more comfortable with friends coming over to our house honestly i still feel that way but teri liked to have sophie over at her house,LABEL_2,0,3.457786945659791e-08,3.457786945659791e-08,3.457786945659791e-08,3.457786945659791e-08,3.457786945659791e-08,3.457786945659791e-08
54,i know no matter how angry kuro sama get he won t abandon me cerulean eyes shining with tears and a gentle true smile from the heart both made kurogane feel a love so fond towards fai how could he leave him behind,LABEL_2,-1,1.339705022473936e-07,1.339705022473936e-07,1.339705022473936e-07,1.339705022473936e-07,1.339705022473936e-07,1.339705022473936e-07
55,i know no matter how angry kuro sama get he won t abandon me cerulean eyes shining with tears and a gentle true smile from the heart both made kurogane feel a love so fond towards fai how could he leave him behind,LABEL_2,0,1.7169044497222785e-07,1.7169044497222785e-07,1.7169044497222785e-07,1.7169044497222785e-07,1.7169044497222785e-07,1.7169044497222785e-07
56,i feel like reading asterix and obelix all of a suddne such fond memories from my childhood,LABEL_2,-1,1.0123248017634978e-07,1.0123248017634978e-07,1.0123248017634978e-07,1.0123248017634978e-07,1.0123248017634978e-07,1.0123248017634978e-07
57,i feel like reading asterix and obelix all of a suddne such fond memories from my childhood,LABEL_2,0,1.2357534728835162e-07,1.2357534728835162e-07,1.2357534728835162e-07,1.2357534728835162e-07,1.2357534728835162e-07,1.2357534728835162e-07
58,i feel no pain no feeling of loneliness but adoring love to gain i said i love you forever along with this love i bring,LABEL_2,-1,5.845235762080847e-08,5.845235762080847e-08,5.845235762080847e-08,5.845235762080847e-08,5.845235762080847e-08,5.845235762080847e-08
59,i feel no pain no feeling of loneliness but adoring love to gain i said i love you forever along with this love i bring,LABEL_2,0,7.564985793351298e-08,7.564985793351298e-08,7.564985793351298e-08,7.564985793351298e-08,7.564985793351298e-08,7.564985793351298e-08
60,i know i was feeling a little delicate this morning from the champagne last night but im all good now d these arent the nails i wore last night but they are festive ish in my eyes and i love wearing them as the gold really popped in real life,LABEL_2,-1,1.09894365607488e-07,1.09894365607488e-07,1.09894365607488e-07,1.09894365607488e-07,1.09894365607488e-07,1.09894365607488e-07
61,i know i was feeling a little delicate this morning from the champagne last night but im all good now d these arent the nails i wore last night but they are festive ish in my eyes and i love wearing them as the gold really popped in real life,LABEL_2,0,1.133509854867043e-07,1.133509854867043e-07,1.133509854867043e-07,1.133509854867043e-07,1.133509854867043e-07,1.133509854867043e-07
62,i feel people fond of burley and virginia blends would cross over to loving this very easily as this blend is made from flue cured virginias and light burley,LABEL_2,-1,1.4662373359897174e-07,1.4662373359897174e-07,1.4662373359897174e-07,1.4662373359897174e-07,1.4662373359897174e-07,1.4662373359897174e-07
63,i feel people fond of burley and virginia blends would cross over to loving this very easily as this blend is made from flue cured virginias and light burley,LABEL_2,0,1.9454054722700675e-07,1.9454054722700675e-07,1.9454054722700675e-07,1.9454054722700675e-07,1.9454054722700675e-07,1.9454054722700675e-07
64,ive committed any thoughts to ascii but recalcitrant as i may be im starting to feel decidedly out of the loop and strangely enough i seem to be rather fond of most of you to the point i dont wish to be out of said loop,LABEL_2,-1,1.6831796756378026e-07,1.6831796756378026e-07,1.6831796756378026e-07,1.6831796756378026e-07,1.6831796756378026e-07,1.6831796756378026e-07
65,ive committed any thoughts to ascii but recalcitrant as i may be im starting to feel decidedly out of the loop and strangely enough i seem to be rather fond of most of you to the point i dont wish to be out of said loop,LABEL_2,0,1.4060567821161385e-07,1.4060567821161385e-07,1.4060567821161385e-07,1.4060567821161385e-07,1.4060567821161385e-07,1.4060567821161385e-07
66,im feeling just as if amazon online is intending to emerge from adoring the registration cost these people supplied and would like to boost the costs,LABEL_2,-1,9.710544190966175e-08,9.710544190966175e-08,9.710544190966175e-08,9.710544190966175e-08,9.710544190966175e-08,9.710544190966175e-08
67,im feeling just as if amazon online is intending to emerge from adoring the registration cost these people supplied and would like to boost the costs,LABEL_2,0,1.208543949360319e-07,1.208543949360319e-07,1.208543949360319e-07,1.208543949360319e-07,1.208543949360319e-07,1.208543949360319e-07
68,i screwed my brows together when i realized this reaction and pondered what could possibly make me feel so fond of a stranger,LABEL_2,-1,1.2705197605100693e-07,1.2705197605100693e-07,1.2705197605100693e-07,1.2705197605100693e-07,1.2705197605100693e-07,1.2705197605100693e-07
69,i screwed my brows together when i realized this reaction and pondered what could possibly make me feel so fond of a stranger,LABEL_2,0,1.3280248367664171e-07,1.3280248367664171e-07,1.3280248367664171e-07,1.3280248367664171e-07,1.3280248367664171e-07,1.3280248367664171e-07
70,i glanced around the room feeling unusually fond of everyone there and i saw caitlin downing glass after glass of champagne,LABEL_2,-1,1.4976420459333895e-07,1.4976420459333895e-07,1.4976420459333895e-07,1.4976420459333895e-07,1.4976420459333895e-07,1.4976420459333895e-07
71,i glanced around the room feeling unusually fond of everyone there and i saw caitlin downing glass after glass of champagne,LABEL_2,0,1.9339623236191983e-07,1.9339623236191983e-07,1.9339623236191983e-07,1.9339623236191983e-07,1.9339623236191983e-07,1.9339623236191983e-07
72,i never had a bike as a kid deprived i feel so i cant say that cycling is something im actually personally fond of though i wish i was,LABEL_2,-1,8.374285442869223e-08,8.374285442869223e-08,8.374285442869223e-08,8.374285442869223e-08,8.374285442869223e-08,8.374285442869223e-08
73,i never had a bike as a kid deprived i feel so i cant say that cycling is something im actually personally fond of though i wish i was,LABEL_2,0,7.318643469034214e-08,7.318643469034214e-08,7.318643469034214e-08,7.318643469034214e-08,7.318643469034214e-08,7.318643469034214e-08
74,i feel fond of him,LABEL_2,-1,9.633689757038155e-08,9.633689757038155e-08,9.633689757038155e-08,9.633689757038155e-08,9.633689757038155e-08,9.633689757038155e-08
75,i feel fond of him,LABEL_2,0,9.292416081052579e-08,9.292416081052579e-08,9.292416081052579e-08,9.292416081052579e-08,9.292416081052579e-08,9.292416081052579e-08
76,i feel like the bottle i had lasted over a year and i liked it but i kind of figured does it really matter what kind of sand youre scrubbing your face with,LABEL_2,-1,7.324732109736942e-08,7.324732109736942e-08,7.324732109736942e-08,7.324732109736942e-08,7.324732109736942e-08,7.324732109736942e-08
77,i feel like the bottle i had lasted over a year and i liked it but i kind of figured does it really matter what kind of sand youre scrubbing your face with,LABEL_2,0,8.653316996287685e-08,8.653316996287685e-08,8.653316996287685e-08,8.653316996287685e-08,8.653316996287685e-08,8.653316996287685e-08
78,im scared it gonna collapsed haha p but upon entering that place i feel liked its not jakarta anymore,LABEL_2,-1,9.518257826357512e-08,9.518257826357512e-08,9.518257826357512e-08,9.518257826357512e-08,9.518257826357512e-08,9.518257826357512e-08
79,im scared it gonna collapsed haha p but upon entering that place i feel liked its not jakarta anymore,LABEL_2,0,1.299291767509203e-07,1.299291767509203e-07,1.299291767509203e-07,1.299291767509203e-07,1.299291767509203e-07,1.299291767509203e-07
80,i feel about the scratches the way i feel about my wrinkles i am fond of them and regard them as evidence of a life well lived,LABEL_2,-1,1.6292992199851142e-07,1.6292992199851142e-07,1.6292992199851142e-07,1.6292992199851142e-07,1.6292992199851142e-07,1.6292992199851142e-07
81,i feel about the scratches the way i feel about my wrinkles i am fond of them and regard them as evidence of a life well lived,LABEL_2,0,1.9757277414100827e-07,1.9757277414100827e-07,1.9757277414100827e-07,1.9757277414100827e-07,1.9757277414100827e-07,1.9757277414100827e-07
82,i want the first approach to feel of pride or fond desire to catch the wand ring of my will and quench the kindling fire,LABEL_2,-1,1.6875451080977655e-07,1.6875451080977655e-07,1.6875451080977655e-07,1.6875451080977655e-07,1.6875451080977655e-07,1.6875451080977655e-07
83,i want the first approach to feel of pride or fond desire to catch the wand ring of my will and quench the kindling fire,LABEL_2,0,1.9411098151067563e-07,1.9411098151067563e-07,1.9411098151067563e-07,1.9411098151067563e-07,1.9411098151067563e-07,1.9411098151067563e-07
84,im feeling oddly fond of it by now though so i dont think i will fix it anytime soon,LABEL_2,-1,1.5201895564587176e-07,1.5201895564587176e-07,1.5201895564587176e-07,1.5201895564587176e-07,1.5201895564587176e-07,1.5201895564587176e-07
85,im feeling oddly fond of it by now though so i dont think i will fix it anytime soon,LABEL_2,0,1.838063496961695e-07,1.838063496961695e-07,1.838063496961695e-07,1.838063496961695e-07,1.838063496961695e-07,1.838063496961695e-07
86,i could feel how fond she was of her partner,LABEL_2,-1,2.1358970059282e-07,2.1358970059282e-07,2.1358970059282e-07,2.1358970059282e-07,2.1358970059282e-07,2.1358970059282e-07
87,i could feel how fond she was of her partner,LABEL_2,0,2.639095839640504e-07,2.639095839640504e-07,2.639095839640504e-07,2.639095839640504e-07,2.639095839640504e-07,2.639095839640504e-07
88,i reached over and tried to feel lorna s ear you all know about my affinity for ears but it turns out that most people aren t as fond of me feeling their ears as i am,LABEL_2,-1,1.5134486375245615e-07,1.5134486375245615e-07,1.5134486375245615e-07,1.5134486375245615e-07,1.5134486375245615e-07,1.5134486375245615e-07
89,i reached over and tried to feel lorna s ear you all know about my affinity for ears but it turns out that most people aren t as fond of me feeling their ears as i am,LABEL_2,0,1.462169763044585e-07,1.462169763044585e-07,1.462169763044585e-07,1.462169763044585e-07,1.462169763044585e-07,1.462169763044585e-07
90,i cope with the loss of my twin flame because it is the most painful loss of a relationship you will ever feel there will be an ache in your heart and a longing of your soul to be back in the arms of your loved one but it will never happen,LABEL_2,-1,2.161643237741373e-07,2.161643237741373e-07,2.161643237741373e-07,2.161643237741373e-07,2.161643237741373e-07,2.161643237741373e-07
91,i cope with the loss of my twin flame because it is the most painful loss of a relationship you will ever feel there will be an ache in your heart and a longing of your soul to be back in the arms of your loved one but it will never happen,LABEL_2,0,1.6690587756329478e-07,1.6690587756329478e-07,1.6690587756329478e-07,1.6690587756329478e-07,1.6690587756329478e-07,1.6690587756329478e-07
92,im feeling fond of her and thinking about making her some new outfits,LABEL_2,-1,2.013148190371794e-07,2.013148190371794e-07,2.013148190371794e-07,2.013148190371794e-07,2.013148190371794e-07,2.013148190371794e-07
93,im feeling fond of her and thinking about making her some new outfits,LABEL_2,0,2.5731836217346427e-07,2.5731836217346427e-07,2.5731836217346427e-07,2.5731836217346427e-07,2.5731836217346427e-07,2.5731836217346427e-07
94,i am not fond of and being roped back in on his return would provide shame another feeling i am not fond of,LABEL_2,-1,1.5482402204725076e-07,1.5482402204725076e-07,1.5482402204725076e-07,1.5482402204725076e-07,1.5482402204725076e-07,1.5482402204725076e-07
95,i am not fond of and being roped back in on his return would provide shame another feeling i am not fond of,LABEL_2,0,1.1088332740882834e-07,1.1088332740882834e-07,1.1088332740882834e-07,1.1088332740882834e-07,1.1088332740882834e-07,1.1088332740882834e-07
96,i feel very fond of my pinky kids,LABEL_2,-1,1.7899641591156978e-07,1.7899641591156978e-07,1.7899641591156978e-07,1.7899641591156978e-07,1.7899641591156978e-07,1.7899641591156978e-07
97,i feel very fond of my pinky kids,LABEL_2,0,2.5015302185238397e-07,2.5015302185238397e-07,2.5015302185238397e-07,2.5015302185238397e-07,2.5015302185238397e-07,2.5015302185238397e-07
98,i don t even like mushrooms normally but the smell from my garden is making me feel very fond of them,LABEL_2,-1,9.255056454549049e-08,9.255056454549049e-08,9.255056454549049e-08,9.255056454549049e-08,9.255056454549049e-08,9.255056454549049e-08
99,i don t even like mushrooms normally but the smell from my garden is making me feel very fond of them,LABEL_2,0,9.871481410073102e-08,9.871481410073102e-08,9.871481410073102e-08,9.871481410073102e-08,9.871481410073102e-08,9.871481410073102e-08
100,i feel im to only person in portland who is fond of this elk,LABEL_2,-1,1.0962491359123305e-07,1.0962491359123305e-07,1.0962491359123305e-07,1.0962491359123305e-07,1.0962491359123305e-07,1.0962491359123305e-07
101,i feel im to only person in portland who is fond of this elk,LABEL_2,0,1.1726864812544591e-07,1.1726864812544591e-07,1.1726864812544591e-07,1.1726864812544591e-07,1.1726864812544591e-07,1.1726864812544591e-07
102,im feeling quite fond of these autumnal colours and moods perhaps recognizing myself in them,LABEL_2,-1,2.5052074192899454e-07,2.5052074192899454e-07,2.5052074192899454e-07,2.5052074192899454e-07,2.5052074192899454e-07,2.5052074192899454e-07
103,im feeling quite fond of these autumnal colours and moods perhaps recognizing myself in them,LABEL_2,0,2.945404844467703e-07,2.945404844467703e-07,2.945404844467703e-07,2.945404844467703e-07,2.945404844467703e-07,2.945404844467703e-07
104,i feel fond of such as kirk uhura doctor rose martha owen arthur morgana and bruce lois,LABEL_2,-1,2.234052089988836e-07,2.234052089988836e-07,2.234052089988836e-07,2.234052089988836e-07,2.234052089988836e-07,2.234052089988836e-07
105,i feel fond of such as kirk uhura doctor rose martha owen arthur morgana and bruce lois,LABEL_2,0,2.54945774713633e-07,2.54945774713633e-07,2.54945774713633e-07,2.54945774713633e-07,2.54945774713633e-07,2.54945774713633e-07
106,i had a crisis about months ago when i realized i was feeling as if my life wasnt my own that everyone liked what i liked i didnt have anything that was solely mine and i no longer felt unique or that i made any particular contribution to the world that was different from anyone else,LABEL_2,-1,1.4220353250493645e-07,1.4220353250493645e-07,1.4220353250493645e-07,1.4220353250493645e-07,1.4220353250493645e-07,1.4220353250493645e-07
107,i had a crisis about months ago when i realized i was feeling as if my life wasnt my own that everyone liked what i liked i didnt have anything that was solely mine and i no longer felt unique or that i made any particular contribution to the world that was different from anyone else,LABEL_2,0,1.3517917807348567e-07,1.3517917807348567e-07,1.3517917807348567e-07,1.3517917807348567e-07,1.3517917807348567e-07,1.3517917807348567e-07
108,i feel particularly fond of at a certain time,LABEL_2,-1,1.6680498049481685e-07,1.6680498049481685e-07,1.6680498049481685e-07,1.6680498049481685e-07,1.6680498049481685e-07,1.6680498049481685e-07
109,i feel particularly fond of at a certain time,LABEL_2,0,2.0114498511247803e-07,2.0114498511247803e-07,2.0114498511247803e-07,2.0114498511247803e-07,2.0114498511247803e-07,2.0114498511247803e-07
110,i also have confused feelings about arya and gendry i would have liked to see more of their interactions in the books and might have started shipping it if id gotten them but their paths diverged too soon,LABEL_2,-1,7.769552468062102e-08,7.769552468062102e-08,7.769552468062102e-08,7.769552468062102e-08,7.769552468062102e-08,7.769552468062102e-08
111,i also have confused feelings about arya and gendry i would have liked to see more of their interactions in the books and might have started shipping it if id gotten them but their paths diverged too soon,LABEL_2,0,7.16417289936544e-08,7.16417289936544e-08,7.16417289936544e-08,7.16417289936544e-08,7.16417289936544e-08,7.16417289936544e-08
112,i was feeling kind of left out as im fond of pancakes and holidays,LABEL_2,-1,1.2746714617151156e-07,1.2746714617151156e-07,1.2746714617151156e-07,1.2746714617151156e-07,1.2746714617151156e-07,1.2746714617151156e-07
113,i was feeling kind of left out as im fond of pancakes and holidays,LABEL_2,0,1.5999843583358597e-07,1.5999843583358597e-07,1.5999843583358597e-07,1.5999843583358597e-07,1.5999843583358597e-07,1.5999843583358597e-07
